Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_Pdn(yds),Rejection,warp_count,weft_count,epi,ppi
40+40/2/40/110x80,31300.0,6.0,38286.935999999994,12.5,TOTAL,33297.87234042553,34797.651102963246,27646,285,double_40,80.0,110,80
40x40/110x90,10450.0,7.0,13057.583999999999,14.5,TOTAL,11236.559139784946,12017.350432056523,11019,39,40,40.0,110,90
40x40/110x80,900.0,11.5,1902.8639999999998,12.5,TOTAL,1016.9491525423729,1062.7538431835856,1528,0,40,40.0,110,80
40x40/130x80,8000.0,8.0,10093.928,14.0,TOTAL,8695.652173913044,9245.81515914267,8944,58,40,40.0,130,80
50x50/140x70,3500.0,8.1,69146.1408,9.1,TOTAL,3808.4874863982586,3831.1587514256958,59367,1043,50,50.0,140,70
40x40/130x80,1300.0,11.5,1651.3359999999998,14.0,TOTAL,1468.9265536723165,1561.8636907252305,1394,0,40,40.0,130,80
40x40/120x70,1240.0,13.5,13320.047999999999,11.5,TOTAL,1433.5260115606936,1481.1662425872707,11196,203,40,40.0,120,70
40x40/130x90,264.0,20.0,2876.1679999999997,14.5,TOTAL,330.0,352.93060742566,2290,73,40,40.0,130,90
40x40/130x80,356.0,19.0,2477.004,14.5,TOTAL,439.5061728395062,470.0460016593152,2031,49,40,40.0,130,80
40x40/110x90,62800.0,7.0,291351.44399999996,14.5,TOTAL,67526.8817204301,72219.10116106695,239970,858,40,40.0,110,90
30x30/110x70,1000.0,15.0,4188.487999999999,13.5,TOTAL,1176.4705882352941,1243.6737425898812,3508,42,30,30.0,110,70
30x30/110x70,1100.0,14.4,33039.843199999996,13.6,TOTAL,1285.0467289719627,1360.0243260577988,27036,290,30,30.0,110,70
40x40/130x90,5800.0,8.0,7545.839999999999,14.5,TOTAL,6304.347826086957,6742.416083889421,6331,19,40,40.0,130,90
40x40/110x90,34820.0,7.0,37975.259999999995,14.5,TOTAL,37440.86021505376,40042.50163102471,31687,162,40,40.0,110,90
40x40/110x90,30615.0,7.0,82556.9576,14.5,TOTAL,32919.354838709674,35206.811816020134,67180,338,40,40.0,110,90
40x40/110x90,24900.0,7.0,69634.98,14.5,TOTAL,26774.1935483871,28634.64361322559,57791,472,40,40.0,110,90
40x40/110x90,6700.0,7.0,32353.0624,14.5,TOTAL,7204.301075268817,7704.904104763514,26074,132,40,40.0,110,90
40x40/110x90,8950.0,7.0,47945.6112,14.5,TOTAL,9623.655913978495,10292.371901139319,39927,268,40,40.0,110,90
50x50/140x70,20700.0,8.0,24917.676,9.0,TOTAL,22500.0,22609.066135035413,21421,369,50,50.0,140,70
50x50/100x90,3500.0,8.0,4366.7447999999995,12.0,TOTAL,3804.3478260869565,3953.111310940261,3701,4,50,50.0,100,90
40x40/130x90,1660.0,7.0,2187.2,14.5,TOTAL,1784.9462365591398,1908.9762408817062,1770,22,40,40.0,130,90
40x40/130x90,2450.0,7.0,3193.312,14.5,TOTAL,2634.4086021505377,2817.464933831434,2620,47,40,40.0,130,90
50x50/100x80,4860.0,8.0,4899.3279999999995,11.0,TOTAL,5282.608695652174,5427.501269543919,346,0,50,50.0,100,80
50x50/100x80,4860.0,7.0,5987.459999999999,13.5,TOTAL,5225.806451612903,5524.318527568601,3373,34,50,50.0,100,80
50x50/100x80,4860.0,8.0,5952.4648,11.0,TOTAL,5282.608695652174,5427.501269543919,1288,33,50,50.0,100,80
40x40/110x90,4800.0,7.0,8202,14.5,TOTAL,5161.290322580645,5519.931298935054,6438,0,40,40.0,110,90
40x40/92x70,2100.0,7.9,2504.3439999999996,10.3,TOTAL,2280.130293159609,2324.3885098988917,1651,23,40,40.0,92,70
40x40/110x70,2975.0,8.2,3663.5599999999995,10.2,TOTAL,3240.740740740741,3299.965888535465,1352,12,40,40.0,110,70
40x40/110x70,2975.0,8.18,3636.22,10.21,TOTAL,3240.034850795034,3299.6145386897583,455,0,40,40.0,110,70
40x40/110x70,2975.0,8.2,3619.816,10.2,TOTAL,3240.740740740741,3299.965888535465,1140,0,40,40.0,110,70
40x40/110x90,28968.0,7.0,37340.971999999994,14.5,TOTAL,31148.387096774193,33312.78538907305,14951,123,40,40.0,110,90
40x40/110x90,27868.0,8.0,35808.83839999999,14.5,TOTAL,30291.304347826088,32396.14679755696,20151,162,40,40.0,110,90
40x40/120x80,43920.0,7.0,40610.835999999996,13.5,TOTAL,47225.8064516129,49923.47113802735,14637,71,40,40.0,120,80
40x40/110x70,8200.0,7.0,9804.124,10.0,TOTAL,8817.20430107527,8958.388503896682,5979,4,40,40.0,110,70
30x30/110x70,23700.0,7.0,16272.767999999998,13.5,TOTAL,25483.870967741936,26939.578004809842,8549,21,30,30.0,110,70
30x30/110x70,14900.0,7.0,18624.007999999998,13.5,TOTAL,16021.505376344086,16936.69672032349,15237,87,30,30.0,110,70
40x40/130x90,1300.0,14.2,1782.5679999999998,16.0,TOTAL,1515.1515151515152,1649.3707056984308,1481,39,40,40.0,130,90
40x40/110x90,8890.0,7.0,7037.316,14.55,TOTAL,9559.139784946237,10229.354838755706,429,0,40,40.0,110,90
40x40/110x90,2840.0,7.2,3619.816,14.7,TOTAL,3060.344827586207,3280.6721442567773,1061,13,40,40.0,110,90
40x40/110x90,57000.0,7.0,58316.219999999994,14.5,TOTAL,61290.32258064516,65549.18417485376,17161,33,40,40.0,110,90
40x40/110x90,33900.0,7.0,16502.424,14.55,TOTAL,36451.6129032258,39007.32610054199,2171,16,40,40.0,110,90
